Vincent Crabbe;Slytherin;Unknown;Cool. Umm..um.
Vernon Dursley;;;Harry Potter!
Vernon Dursley;;;I’m warning you, if you can’t control that bloody bird it’ll have to go.
Vernon Dursley;;;Huh, huh! So you could send secret messages to you freaky little friends. No, sir!
Vernon Dursley;;;I should think you’d be a little more grateful.
Vernon Dursley;;;We’ve raised you since you were a baby, given you the food off our table, even let you have Dudley’s second bedroom, purely out of the goodness of our hearts.
Vernon Dursley;;;Which should be any minute!
Vernon Dursley;;;Ahem...Now let’s go over our schedule once again, shall we?
Vernon Dursley;;;Petunia when the Masons arrive you will be...?
Vernon Dursley;;;Good! And- and Dudley, you will be...?
Vernon Dursley;;;Excellent! ...And you...?
Vernon Dursley;;;Too right, you will.
Vernon Dursley;;;With any luck, this could well be the day I make the biggest deal of my career.
Vernon Dursley;;;And you will not mess it up!
Vernon Dursley;;;Mr. and Mrs. Mason! Do come in!
Vernon Dursley;;;Ohh, don’t mind that!
Vernon Dursley;;;It’s just the cat.
Vernon Dursley;;;What the devil are you doing up here?
Vernon Dursley;;;You just ruined the punch line of my Japanese golfer joke!
Vernon Dursley;;;One more sound, and you’ll wish you’d never been born, boy!
Vernon Dursley;;;And fix that door!
Vernon Dursley;;;...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep.
Vernon Dursley;;;And one plumber said “Look at all that water.”
Vernon Dursley;;;A-and the second plumber said, “Yes, and that’s just the top of it!”
Vernon Dursley;;;I’m so sorry! It’s my nephew- he’s very disturbed.
Vernon Dursley;;;Meeting strangers upsets him.
Vernon Dursley;;;That’s why I kept him upstairs!
Vernon Dursley;;;You’re never going back to that school.
Vernon Dursley;;;You’re never going to see those freaky friends of yours again. Never!
Vernon Dursley;;;Now, what the hell’s he doing? Potter!
Vernon Dursley;;;Petunia, he’s escaping!
Vernon Dursley;;;Come here!
Vernon Dursley;;;Oh no, boy! You and that bloody pigeon aren’t going anywhere!
Vernon Dursley;;;No! No! No! No! Aaaah!
Vernon Dursley;;;Oh... Damn.
Tom Marvolo Riddle;Slytherin;Unknown;Professor Dumbledore.
Tom Marvolo Riddle;Slytherin;Unknown;Yes, professor. I suppose I...
Tom Marvolo Riddle;Slytherin;Unknown;I had to see for myself if the rumors were true.
Tom Marvolo Riddle;Slytherin;Unknown;About the school as well?
Tom Marvolo Riddle;Slytherin;Unknown;I don't have a home to go to.
Tom Marvolo Riddle;Slytherin;Unknown;They wouldn't really close Hogwarts, would they, professor?
Tom Marvolo Riddle;Slytherin;Unknown;Sir, if it all stopped, if the person responsible was caught...
Tom Marvolo Riddle;Slytherin;Unknown;No, sir. Nothing.
Tom Marvolo Riddle;Slytherin;Unknown;Good night, sir.
Tom Marvolo Riddle;Slytherin;Unknown;Evening, Hagrid.
Tom Marvolo Riddle;Slytherin;Unknown;I'm going to have to turn you in Hagrid
Tom Marvolo Riddle;Slytherin;Unknown;I don't think you meant it to kill anyone...
Tom Marvolo Riddle;Slytherin;Unknown;The dead girl's parents will be here tomorrow.
Tom Marvolo Riddle;Slytherin;Unknown;The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
Tom Marvolo Riddle;Slytherin;Unknown;Monsters don't make good pets, Hagrid.
Tom Marvolo Riddle;Slytherin;Unknown;Now, stand aside.
Tom Marvolo Riddle;Slytherin;Unknown;Stand aside, Hagrid.
Tom Marvolo Riddle;Slytherin;Unknown;Cistem Aperio!
Tom Marvolo Riddle;Slytherin;Unknown;Arania Exumai!
Tom Marvolo Riddle;Slytherin;Unknown;I can't let you go.
Tom Marvolo Riddle;Slytherin;Unknown;They'll have your wand for this, Hagrid.
Tom Marvolo Riddle;Slytherin;Unknown;You'll be expelled.
Tom Marvolo Riddle;Slytherin;Unknown;She won't wake.
Tom Marvolo Riddle;Slytherin;Unknown;She's still alive, but only just.
Tom Marvolo Riddle;Slytherin;Unknown;A memory preserved in a diary for 50 years.
Tom Marvolo Riddle;Slytherin;Unknown;It won't come until it's called.
Tom Marvolo Riddle;Slytherin;Unknown;You won't be needing it.
Tom Marvolo Riddle;Slytherin;Unknown;I'm afraid I can't do that.
Tom Marvolo Riddle;Slytherin;Unknown;You see, as poor Ginny grows weaker, I grow stronger.
Tom Marvolo Riddle;Slytherin;Unknown;Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets.
Tom Marvolo Riddle;Slytherin;Unknown;It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.
Tom Marvolo Riddle;Slytherin;Unknown;Because I told her to.
Tom Marvolo Riddle;Slytherin;Unknown;You'll find I can be very persuasive.
Tom Marvolo Riddle;Slytherin;Unknown;Not that she knew what she was doing.
Tom Marvolo Riddle;Slytherin;Unknown;She was, shall we say, in a kind of trance.
Tom Marvolo Riddle;Slytherin;Unknown;Still, the power of the diary began to scare her.
Tom Marvolo Riddle;Slytherin;Unknown;She tried to dispose of it in the girls' bathroom.
Tom Marvolo Riddle;Slytherin;Unknown;And then who should find it but you?
Tom Marvolo Riddle;Slytherin;Unknown;The very person I was most anxious to meet.
Tom Marvolo Riddle;Slytherin;Unknown;I knew I had to talk to you, meet you if I could.
Tom Marvolo Riddle;Slytherin;Unknown;So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
Tom Marvolo Riddle;Slytherin;Unknown;It was my word against Hagrid's.
Tom Marvolo Riddle;Slytherin;Unknown;Only Dumbledore seemed to think he was innocent.
Tom Marvolo Riddle;Slytherin;Unknown;He certainly kept an annoyingly close watch on me after that.
Tom Marvolo Riddle;Slytherin;Unknown;" I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day"
Tom Marvolo Riddle;Slytherin;Unknown;I would be able to lead another to finish Salazar Slytherin's noble work.
Tom Marvolo Riddle;Slytherin;Unknown;Haven't I told you? Killing Mudbloods doesn't matter to me anymore.
Tom Marvolo Riddle;Slytherin;Unknown;For many months now, my new target has been you.
Tom Marvolo Riddle;Slytherin;Unknown;How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?
Tom Marvolo Riddle;Slytherin;Unknown;How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?
Tom Marvolo Riddle;Slytherin;Unknown;Voldemort is my past, present and future.
Tom Marvolo Riddle;Slytherin;Unknown;Surely you didn't think .I was going to keep my filthy Muggle father's name?
Tom Marvolo Riddle;Slytherin;Unknown;No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.
Tom Marvolo Riddle;Slytherin;Unknown;Dumbledore's been driven out of this castle by the mere memory of me.
Tom Marvolo Riddle;Slytherin;Unknown;So this is what Dumbledore sends his great defender.
Tom Marvolo Riddle;Slytherin;Unknown;A songbird and an old hat.
Tom Marvolo Riddle;Slytherin;Unknown;Let's match the power of Lord Voldemort, Heir of Salazar Slytherin against the famous Harry Potter.
Tom Marvolo Riddle;Slytherin;Unknown;Parseltongue won't save you now, Potter.
Tom Marvolo Riddle;Slytherin;Unknown;It only obeys me.
Tom Marvolo Riddle;Slytherin;Unknown;No! Your bird may have blinded the basilisk, but it can still hear you.
Tom Marvolo Riddle;Slytherin;Unknown;Yes, Potter.
Tom Marvolo Riddle;Slytherin;Unknown;The process is nearly complete.
Tom Marvolo Riddle;Slytherin;Unknown;In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory.
Tom Marvolo Riddle;Slytherin;Unknown;Lord Voldemort will return .very much alive.
Tom Marvolo Riddle;Slytherin;Unknown;Remarkable, isn't it? how quickly the venom of the basilisk penetrates the body?
Tom Marvolo Riddle;Slytherin;Unknown;I'd guess you have little more than a minute to live.
Tom Marvolo Riddle;Slytherin;Unknown;You'll be with your dear Mudblood mother soon, Harry.
Tom Marvolo Riddle;Slytherin;Unknown;Funny, the damage a silly little book can do especially in the hands of a silly little girl.
Tom Marvolo Riddle;Slytherin;Unknown;What are you doing?
Tom Marvolo Riddle;Slytherin;Unknown;Stop. No!
Severus Snape;Slytherin;Doe;You were seen by no less than seven Muggles.
Severus Snape;Slytherin;Doe;Do you have any idea how serious this is?
Severus Snape;Slytherin;Doe;You have risked the exposure of our world.
Severus Snape;Slytherin;Doe;Not to mention the damage you inflicted on a Whomping Willow.
Severus Snape;Slytherin;Doe;that's been on these grounds since before you were born.
Severus Snape;Slytherin;Doe;Silence.
Severus Snape;Slytherin;Doe;I assure you that were you in Slytherin, and your fate rested with me...
Severus Snape;Slytherin;Doe;the both of you would be on the train home tonight.
Severus Snape;Slytherin;Doe;As it is...
Severus Snape;Slytherin;Doe;Headmaster these boys have flouted the Decree for the Restriction of Underage Wizardry.
Severus Snape;Slytherin;Doe;If I might, headmaster?
Severus Snape;Slytherin;Doe;Perhaps Potter and his friends were just in the wrong place at the wrong time.
Severus Snape;Slytherin;Doe;However the circumstances are suspicious.
Severus Snape;Slytherin;Doe;I, for one, don't recall seeing Potter at dinner.
Severus Snape;Slytherin;Doe;Yes, Miss Granger?
Severus Snape;Slytherin;Doe;Expelliarmus!
Severus Snape;Slytherin;Doe;Perhaps it would be prudent to first teach the students to block unfriendly spells, professor.
Severus Snape;Slytherin;Doe;Weasley's wand causes devastation with the simplest spells.
Severus Snape;Slytherin;Doe;We'll be sending Potter to the hospital wing in a matchbox.
Severus Snape;Slytherin;Doe;Might I suggest someone from my own house?
Severus Snape;Slytherin;Doe;Malfoy, perhaps?
Severus Snape;Slytherin;Doe;Don't move, Potter.
Severus Snape;Slytherin;Doe;I'll get rid of it for you.
Severus Snape;Slytherin;Doe;Vipera Evanesca.
Severus Snape;Slytherin;Doe;A girl has been snatched by the monster, Lockhart.
Severus Snape;Slytherin;Doe;Your moment has come at last.
